id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,M,1.575,1.225,0.375,31.22697425,12.303683,6.3219385,9.63883,10.0
1,I,1.2375,1.0,0.375,21.885814,7.654365,3.798833,7.654365,19.0
2,F,1.45,1.1625,0.4125,28.25027675,11.12717875,7.01650125,7.257472,11.0
3,I,1.35,1.025,0.375,21.58814425,9.73805325,4.1106775,6.3786375,9.0
4,I,1.1375,0.875,0.2875,14.968536,5.953395,2.96252275,3.7137845,8.0
5,F,1.4875,1.1875,0.4,28.33532525,12.0485375,7.66853975,8.50485,10.0
6,M,1.525,1.1875,0.4375,31.581343,11.38232425,7.98038425,9.2135875,14.0
7,M,1.625,1.2875,0.4375,42.2124055,17.70426275,8.66077225,11.3398,13.0
8,M,1.3375,1.05,0.3875,23.09066775,12.0485375,4.37999775,6.0384435,9.0
9,F,1.3375,1.0125,0.3375,18.313777,8.94426725,4.195726,5.953395,10.0
10,M,1.6,1.25,0.425,35.98969025,16.20173925,8.54737425,9.4970825,10.0
11,I,0.4625,0.3375,0.1125,0.907184,0.29766975,0.18427175,0.18427175,6.0
12,F,1.45,1.075,0.325,20.638436,9.8372765,3.84135725,6.23689,9.0
13,I,1.1,0.85,0.25,11.736693,5.953395,2.26796,2.6932025,7.0
14,F,1.625,1.275,0.475,33.5941575,14.0330025,7.257472,9.355335,14.0
15,F,1.275,1.0,0.3875,21.55979475,6.4353365,5.85417175,6.9456275,16.0
16,M,1.7,1.3625,0.4375,47.4854125,16.20173925,8.2497045,15.7339725,19.0
17,I,1.4125,1.1375,0.35,25.86891875,12.00601325,5.17378375,7.7961125,9.0
18,F,1.1125,0.8625,0.2875,14.514944,6.67630725,2.87747425,3.40194,9.0
19,F,1.675,1.3625,0.45,43.02036625,24.22464775,7.52679225,12.40290625,9.0
20,F,1.375,1.1125,0.4125,25.72717125,11.8784405,5.03203625,6.80388,12.0
21,I,1.05,0.8,0.3,10.64523725,4.309124,2.65067825,2.9766975,6.0
22,M,1.4,1.125,0.3125,25.231055,11.04213025,5.159609,7.52679225,13.0
23,I,1.425,1.125,0.3625,22.5378525,10.78698475,4.20990075,6.3786375,9.0
24,M,1.025,0.75,0.225,7.95203475,3.2601925,1.77184375,2.4097075,9.0
25,F,1.5875,1.275,0.475,35.13920525,14.47241975,9.015141,10.77281,11.0
26,M,1.575,1.225,0.3875,30.4190135,13.87708025,6.973977,8.0796075,9.0
27,I,1.1625,0.875,0.3125,13.1258185,6.13766675,4.03980375,3.118445,8.0
28,M,1.5,1.225,0.4125,29.9654215,12.3887315,6.56290925,9.2135875,10.0
29,I,1.2875,1.0125,0.3125,17.36406875,7.92368525,4.139027,5.386405,9.0
30,F,1.775,1.4125,0.4875,48.20832475,15.35125425,7.44174375,15.4504775,20.0
31,F,1.6625,1.375,0.475,43.2329875,18.21455375,10.19164525,11.3398,11.0
32,M,1.425,1.15,0.3625,25.10348225,9.4403835,5.8683465,7.5126175,17.0
33,F,1.1875,0.875,0.3375,17.1514475,9.468733,3.6003865,3.8271825,8.0
34,I,0.525,0.425,0.1375,1.31825175,0.5386405,0.3118445,0.3685435,5.0
35,I,1.375,1.075,0.3625,21.27629975,10.87203325,4.01145425,6.9456275,9.0
36,I,1.1125,0.875,0.25,12.813974,5.28718175,2.948348,3.96893,8.0
37,I,0.725,0.475,0.15,2.16873675,1.190679,0.4252425,0.7087375,5.0
38,F,1.5625,1.1625,0.4,31.22697425,11.736693,5.85417175,9.355335,15.0
39,I,1.1625,0.8875,0.2625,13.8062065,6.406987,3.4869885,3.5436875,7.0
40,M,1.4375,1.125,0.4,24.36639525,9.56795625,5.9250455,7.087375,12.0
41,M,1.475,1.15,0.375,29.1149365,12.37455675,6.76135575,8.6465975,11.0
42,F,1.275,1.0125,0.3625,20.25571775,7.3425205,4.9044635,7.7961125,8.0
43,M,1.5375,1.1875,0.3875,30.71668325,14.84096325,6.13766675,9.2135875,11.0
44,M,1.4875,1.1875,0.3875,26.80445225,11.49572225,5.216308,8.221355,12.0
45,M,1.3625,1.0125,0.4125,23.45921125,9.1001895,5.59902625,6.8322295,8.0
46,M,1.55,1.225,0.45,38.5269705,18.200379,6.98815175,9.7805775,9.0
47,F,1.525,1.2,0.4875,36.38658325,12.48795475,8.901743,13.324265,14.0
48,M,1.475,1.1125,0.375,25.911443,10.375917,6.22271525,7.7961125,15.0
49,M,1.5125,1.175,0.3625,33.46658475,15.46465225,7.41339425,7.654365,9.0
50,I,0.825,0.6375,0.1875,5.10291,2.551455,1.20485375,1.5592225,5.0
51,I,0.8375,0.625,0.2,4.80524025,2.4097075,1.11980525,1.5592225,8.0
